"id","source","line","method","uri","route_name","middleware_auth","actor","handler","view_response","related_views","reads","writes","state_transitions","mail_export_document_effects","classification","confidence","notes"
"W094","routes/web.php","499","POST","/backend/checkin-staff-login","","web; nested web; throttle:5,1; CSRF globally exempt","public external check-in operator","ExternalCheckinAuthController@login","redirect or validation errors","none","course.checkin_password","session checkin_only and course code","external session becomes course-scoped check-in session","logs success/failure","auth_mutation","high","Accepts legacy plaintext or Hash::check"
"W095","routes/web.php","500","GET","/backend/checkin-staff-logout","","web; nested web","external check-in operator","ExternalCheckinAuthController@logout","redirect check-in login","none","session","clear checkin session","check-in session to signed out","none","auth_mutation_get","high","Not checkin.access protected"
"W096","routes/web.php","502","GET","/backend/checkin-form/{course_code}","","web; nested web; checkin.access","administrator or matching external course operator","BackendCheckinController@form","Blade backend.checkin.form","backend.layouts.layout-nosidebar","course; center; course_type; tutor_type; application counts through Helper","none","none","loads local Thai-card reader browser integration","route_page_checkin","high","Displays confirmed/checkin counters and search/card/manual UI"
"W097","routes/web.php","503","POST","/backend/checkin-save","","web; nested web; checkin.access; CSRF globally exempt","administrator or matching external course operator","BackendCheckinController@store","JSON","none","apply_course/Apply joined user by personal ID","checkins; apply_course.status/updated_date","confirmed to checkin","none","checkin_mutation","high","Insert and status write are not transactional; second request no longer finds confirmed"
"W098","routes/web.php","505","POST","/backend/signin","","web; nested web; CSRF globally exempt; no dedicated throttle","public admin login","closure","redirect","none","users through Auth","session/auth","signed out to authenticated backend user on success","none","auth_mutation","high","Always redirects even failure and ignores computed error status/message"
"W099","routes/web.php","551","GET","/preview/accept-reminder/{apply_token?}","","web; route registered only local","developer in local environment","closure","Blade preview.accept-reminder","layouts.layout; components.accept.update-reminder","none","none","none","none","local_preview","high","Route does not exist outside local"
"A001","routes/api.php","20","GET","/api/test","","api; throttle 60/min/IP or user","public","closure","literal response true","none","none","none","none","none","debug_api","high","Public health/debug-like route"
"A002","routes/api.php","24","GET","/api/user","","api; throttle 60/min; auth:sanctum","Sanctum-authenticated user","closure","authenticated user JSON","none","users/Auth","none","none","none","api","high","Only effective Sanctum-protected route found"
"A003","routes/api.php","28","POST","/api/signup/otp/request","","api; throttle 60/min/IP; Twilio cooldown","public registrant","SignupController@requestOtp","JSON","none","cache/cooldown state; Twilio Verify external","cache cooldown","OTP challenge requested","Twilio Verify email OTP request","api_auth","high","Validates email and optional 4-10 digit code policy; UI expects six digits"
"A004","routes/api.php","29","POST","/api/signup/otp/verify","","api; throttle 60/min/IP","public registrant","SignupController@verifyOtp","JSON with one-use registration token","none","Twilio Verify external; cache","cache verified-email token","OTP challenge to verified token","Twilio verification check","api_auth","high","Verified token default TTL 900 seconds"
"A005","routes/api.php","30","POST","/api/signup","","api; throttle 60/min/IP","public registrant with verified token","SignupController@store","JSON","mail.welcome","users; contact; verified token cache","users; contact; Auth/session","new account and authenticated session","sends welcome email containing submitted plaintext password","api_auth_mutation","high","User/contact inserts are not wrapped in one transaction; email is not unique"
"A006","routes/api.php","32","GET","/api/citizen/ready","","api; throttle 60/min/IP","public registrant","closure","literal true or false","none","users.personal_id","none","none","none","enumeration_api","high","Returns true when ID is available"
"A007","routes/api.php","38","GET","/api/citizen/exists","","api; throttle 60/min/IP","public","closure","literal true or false","none","users.personal_id","none","none","none","enumeration_api","high","Inverse duplicate of A006"
"A008","routes/api.php","44","POST","/api/checkins/search/{course_code}/{personal_id}","","api; throttle 60/min/IP; no checkin.access/auth","public","closure","JSON confirmed applicant data","none","apply_course; users; prefixes; contact; trainee_type; question_apply_course; question_choices; checkins","none","none","returns PII age mobile nationality languages dinner seating/additional information","public_pii_api","high","Wildcard/broad CORS exposure; only status confirmed is returned"
"A009","routes/api.php","148","GET","/api/apply-stat/{course_code}","","api; throttle 60/min/IP","public","closure","hardcoded JSON counters","none","none; intended query commented","none","none","none","placeholder_api","high","Always zeros; typo man_old key"
"A010","routes/api.php","168","GET","/api/username/exists","","api; throttle 60/min/IP","public/backend-user form","closure","literal true or false","none","users.username","none","none","none","enumeration_api","high","Returns false when username exists"
